Carrier,Order_Date,total_weight_tool,order_cost
Y,2014-10-27,3557.4,249.02
Y,2014-08-25,4602.84,322.2
Y,2014-09-08,4975.52,348.29
Y,2014-11-17,5549.06,388.43
Y,2015-02-23,5899.96,413
Y,2014-09-01,6212.14,434.85
Y,2014-09-22,6216.98,435.19
Y,2015-03-02,6262.96,438.41
Y,2014-08-18,6347.66,444.34
Y,2014-09-29,6347.66,444.34
Y,2015-01-19,6504.96,455.35
Y,2015-03-30,6797.78,475.84
Y,2015-03-23,6821.98,477.54
Y,2014-11-03,6877.64,481.43
Y,2015-02-02,6880.06,481.6
Y,2014-10-13,6940.56,485.84
Y,2014-10-06,7010.74,490.75
Y,2015-06-22,7216.44,505.15
Y,2014-10-27,7235.8,868.3
Y,2015-01-12,7318.08,512.27
Y,2014-10-20,7756.1,542.93
Y,2014-08-11,7826.28,547.84
Y,2014-09-29,7884.36,946.12
Y,2014-09-08,7956.96,954.84
Y,2014-09-15,7973.9,558.17
Y,2014-11-24,7973.9,558.17
Y,2015-04-13,8029.56,562.07
Y,2015-01-05,8031.98,562.24
Y,2014-12-08,8046.5,563.26
Y,2015-02-16,8203.8,574.27
Y,2015-04-27,8242.52,576.98
Y,2015-01-12,4501.2,315.08
Y,2015-01-26,8344.16,584.09
Y,2014-08-25,8356.26,1002.75
Y,2014-11-03,8453.06,1014.37
Y,2014-12-15,8489.36,594.26
Y,2014-09-01,8542.6,1025.11
Y,2014-10-13,8542.6,1025.11
Y,2014-12-22,8610.36,602.73
Y,2014-11-17,8615.2,1033.82
Y,2014-08-04,8712,609.84
Y,2015-04-20,8927.38,624.92
Y,2015-04-06,8983.04,628.81
Y,2015-05-04,8987.88,629.15
Y,2014-11-10,9075,635.25
Y,2015-07-13,9137.92,639.65
Y,2015-05-18,9142.76,639.99
Y,2015-03-23,9210.52,1105.26
Y,2014-09-22,9346.04,1121.52
Y,2015-07-27,9496.08,664.73
Y,2015-05-11,9544.48,668.11
Y,2014-12-08,5261.52,368.31
Y,2014-09-15,9677.58,1161.31
Y,2015-01-12,9755.02,1170.6
Y,2015-06-08,9786.48,685.05
Y,2015-02-23,9822.78,1178.73
Y,2015-02-09,9876.02,691.32
Y,2015-02-16,9919.58,1190.35
Y,2015-06-29,9951.04,696.57
Y,2014-12-01,9999.44,699.96
Y,2015-02-02,10101.08,1212.13
Y,2015-01-12,5557.2,666.86
Y,2015-03-02,10193.04,1223.16
Y,2014-10-20,10229.34,1227.52
Y,2015-01-19,5579.64,669.56
Y,2014-10-06,10231.76,1227.81
Y,2014-09-29,5583.6,390.85
Y,2015-03-16,10241.44,716.9
Y,2015-06-15,10241.44,716.9
Y,2014-08-18,10328.56,1239.43
Y,2014-12-29,10391.48,727.4
Y,2014-12-22,10408.42,1249.01
Y,2014-11-24,10476.18,1257.14
Y,2014-08-04,10497.96,1259.76
Y,2015-01-19,10497.96,1259.76
Y,2014-12-08,10553.62,1266.43
Y,2014-11-24,5756.52,402.96
Y,2015-04-13,10565.72,1267.89
Y,2015-02-16,5794.8,405.64
Y,2014-10-13,5826.48,407.85
Y,2015-05-25,10684.3,747.9
Y,2015-06-01,10776.26,754.34
Y,2015-03-30,10817.4,1298.09
Y,2015-01-26,10877.9,1305.35
Y,2015-07-20,10943.24,766.03
Y,2014-09-22,6006,420.42
Y,2014-12-15,11056.98,1326.84
Y,2014-08-11,11127.16,1335.26
Y,2015-06-22,11253,1350.36
Y,2014-12-08,6138,736.56
Y,2015-01-05,11378.84,1365.46
Y,2015-04-20,11531.3,1383.76
Y,2015-04-06,11613.58,1393.63
Y,2015-05-04,11620.84,1394.5
Y,2015-02-23,6382.2,446.75
Y,2014-11-10,11707.96,1404.96
Y,2014-09-29,6386.16,766.34
Y,2015-03-16,6407.28,768.87
Y,2015-01-19,6417.84,449.25
Y,2015-02-09,11814.44,1417.73
Y,2014-10-06,6461.4,452.3
Y,2014-08-18,6478.56,453.5
Y,2015-03-16,6515.52,456.09
Y,2014-12-01,11947.54,1433.7
Y,2015-07-06,11966.9,837.68
Y,2014-11-24,6534,784.08
Y,2015-02-16,6539.28,784.71
Y,2014-10-13,6557.76,786.93
Y,2014-08-04,6607.92,792.95
Y,2015-06-15,12191.96,1463.04
Y,2015-07-27,12191.96,1463.04
Y,2015-03-16,12201.64,1464.2
Y,2014-08-11,6663.36,466.44
Y,2014-10-27,6700.32,469.02
Y,2014-12-01,6710.88,805.31
Y,2014-09-22,6714.84,805.78
Y,2014-09-08,6730.68,807.68
Y,2014-12-29,12356.52,1482.78
Y,2015-04-27,12424.28,1490.91
Y,2015-03-09,12455.74,871.9
Y,2015-06-08,12506.56,1500.79
Y,2014-08-04,6828.36,477.99
Y,2015-03-02,6866.64,824
Y,2015-05-18,12596.1,1511.53
Y,2015-05-25,12712.26,1525.47
Y,2015-06-01,12780.02,1533.6
Y,2015-02-23,6982.8,837.94
Y,2014-11-03,6986.76,489.07
Y,2015-02-02,7027.68,843.32
Y,2015-01-26,7044.84,845.38
Y,2014-08-18,7051.44,846.17
Y,2014-10-06,7051.44,846.17
Y,2015-07-20,12959.1,1555.09
Y,2015-05-11,13053.48,1566.42
Y,2015-03-02,7135.92,499.51
Y,2015-05-04,7208.52,865.02
Y,2014-08-11,7211.16,865.34
Y,2014-10-27,7246.8,869.62
Y,2014-09-15,7256.04,870.72
Y,2015-03-30,7282.44,873.89
Y,2015-06-01,7285.08,509.96
Y,2014-10-20,7290.36,874.84
Y,2015-06-29,7302.24,511.16
Y,2015-07-13,13411.64,1609.4
Y,2015-01-05,7326,879.12
Y,2015-02-09,7337.88,880.55
Y,2015-01-26,7349.76,514.48
Y,2014-12-15,7405.2,518.36
Y,2014-11-03,7415.76,889.89
Y,2015-03-23,7505.52,900.66
Y,2014-11-17,7584.72,910.17
Y,2015-05-04,7616.4,533.15
Y,2015-04-27,7620.36,914.44
Y,2015-04-20,7663.92,919.67
Y,2015-06-01,7689,922.68
Y,2015-06-29,7696.92,923.63
Y,2014-10-20,7698.24,538.88
Y,2015-07-06,14120.7,1694.48
Y,2015-01-05,7739.16,541.74
Y,2014-12-15,7753.68,930.44
Y,2015-02-09,7777.44,544.42
Y,2014-08-25,7793.28,545.53
Y,2015-06-29,14311.88,1717.43
Y,2014-12-22,7869.84,944.38
Y,2014-09-08,7890.96,552.37
Y,2014-12-01,7902.84,553.2
Y,2015-03-09,7925.28,554.77
Y,2015-05-25,7986,958.32
Y,2015-03-09,14653.1,1758.37
Y,2014-09-01,8048.04,965.76
Y,2014-08-25,8071.8,968.62
Y,2015-07-27,8125.92,975.11
Y,2015-04-27,8133.84,569.37
Y,2015-07-20,8160.24,571.22
Y,2015-03-09,8173.44,980.81
Y,2015-02-02,8273.76,579.16
Y,2014-11-10,8349,584.43
Y,2015-07-06,8349,584.43
Y,2015-07-20,8350.32,1002.04
Y,2015-06-08,8350.32,584.52
