Carrier,Order_Date,total_weight_tool,order_cost
Y,2015-01-19,13822.82,967.6
Y,2014-08-11,15867.94,1110.76
Y,2015-01-26,15904.46,1113.31
Y,2015-01-12,15904.46,954.27
Y,2015-01-12,16014.02,1120.98
Y,2014-08-18,16269.66,1138.88
Y,2014-12-08,16306.18,1141.43
Y,2014-11-17,16415.74,1149.1
Y,2014-11-17,16488.78,989.33
Y,2015-03-09,16580.08,1160.61
Y,2014-11-10,17118.75,1198.31
X,2014-08-04,17255.7,1200
X,2014-10-20,17255.7,1200
X,2014-09-29,17347,1200
X,2014-12-01,17474.82,1200
X,2014-09-22,17483.95,1200
X,2014-11-24,17593.51,1200
X,2014-09-01,17766.98,1200
X,2014-11-03,17949.58,1200
X,2015-02-02,17995.23,1200
Y,2015-01-19,18013.49,1080.81
Y,2014-11-24,18260,1095.6
Y,2014-08-11,18406.08,1104.36
X,2015-04-27,18433.47,1200
Y,2014-09-01,18506.51,1110.39
X,2015-03-16,18515.64,1200
X,2014-10-06,18606.94,1200
X,2014-09-08,18670.85,1200
X,2014-10-13,18716.5,1200
X,2014-12-15,18771.28,1200
X,2015-06-15,18807.8,1200
Y,2015-02-02,18853.45,1131.21
X,2015-02-23,18899.1,1200
X,2015-04-20,18917.36,1200
X,2014-10-27,19045.18,1200
X,2014-12-29,19191.26,1200
X,2015-04-13,19191.26,1200
X,2014-12-22,19337.34,1200
Y,2015-03-09,19410.38,1164.62
Y,2014-10-06,19729.93,1183.8
X,2015-04-06,19784.71,1200
X,2015-02-09,19848.62,1200
X,2015-03-30,19848.62,1200
Y,2014-09-08,19848.62,1190.92
Y,2014-10-13,19894.27,1193.66
X,2015-06-29,19912.53,1200
X,2014-12-15,20003.83,1200
X,2015-06-15,20058.61,1200
X,2015-05-18,20095.13,1200
X,2015-07-20,20469.46,1200
X,2015-07-13,20579.02,1200
X,2014-09-22,20779.88,1200
X,2014-12-01,20798.14,1200
X,2015-03-02,20825.53,1200
X,2015-05-25,20898.57,1200
X,2014-09-15,20953.35,1200
X,2015-06-01,20980.74,1200
X,2015-01-26,21099.43,1200
X,2015-03-23,21208.99,1200
X,2015-01-05,21272.9,1200
X,2015-02-16,21345.94,1200
X,2014-11-03,21482.89,1200
X,2014-08-18,21702.01,1200
X,2014-12-08,21784.18,1200
X,2015-05-04,22112.86,1200
X,2015-04-27,22231.55,1200
X,2015-05-11,22295.46,1200
X,2015-06-22,22733.7,1200
X,2014-08-25,22852.39,1200
X,2015-07-06,22879.78,1200
X,2015-02-23,22952.82,1200
X,2014-11-10,22961.95,1200
X,2015-06-08,22971.08,1200
X,2015-07-27,22980.21,1200
X,2014-08-04,23153.68,1200
X,2014-10-20,23171.94,1200
X,2014-09-29,23318.02,1200
X,2014-12-22,23573.66,1200
X,2015-02-09,24367.97,1200
X,2015-06-29,24495.79,1200
X,2015-05-04,25016.2,1200
X,2015-03-16,25034.46,1200
X,2015-07-20,25271.84,1200
X,2015-04-20,25682.69,1200
X,2014-10-27,25865.29,1200
X,2015-06-22,26002.24,1200
X,2014-09-15,26011.37,1200
X,2014-12-29,26066.15,1200
X,2015-04-13,26075.28,1200
X,2015-07-27,26367.44,1200
X,2015-03-23,26403.96,1200
X,2015-01-05,26458.74,1200
X,2015-04-06,26997.41,1200
X,2015-03-30,27070.45,1200
X,2015-05-18,27444.78,1200
X,2015-05-11,28038.23,1200
X,2015-07-13,28156.92,1200
X,2015-03-02,28531.25,1200
X,2015-05-25,28649.94,1200
X,2015-06-01,28750.37,1200
X,2015-02-16,29270.78,1200
X,2014-08-25,31562.41,1200
X,2015-07-06,31626.32,1200
X,2015-06-08,31735.88,1200
