Order_Date,total_order_cost
2014-08-04,4099.63
2014-08-11,3913.16
2014-08-18,3869.57
2014-08-25,3604.5
2014-09-01,3637.63
2014-09-08,3575.57
2014-09-15,3963.17
2014-09-22,3815.2
2014-09-29,3664.05
2014-10-06,3946.13
2014-10-13,3767.25
2014-10-20,4009.5
2014-10-27,3415.74
2014-11-03,3759.82
2014-11-10,4175.81
2014-11-17,3431.39
2014-11-24,3945.89
2014-12-01,4236.33
2014-12-08,4004.78
2014-12-15,4140.23
2014-12-22,4083.39
2014-12-29,4261.28
2015-01-05,4111.13
2015-01-12,3605.13
2015-01-19,3607.59
2015-01-26,4030.98
2015-02-02,3870.97
2015-02-09,4228.47
2015-02-16,4004.2
2015-02-23,3847.03
2015-03-02,3910.52
2015-03-09,4317.87
2015-03-16,4251.73
2015-03-23,3838.91
2015-03-30,4012.67
2015-04-06,4171.65
2015-04-13,4063.59
2015-04-20,4168.11
2015-04-27,4124.52
2015-05-04,4171.96
2015-05-11,4207.38
2015-05-18,4181.81
2015-05-25,4279.91
2015-06-01,4285.76
2015-06-08,4222.78
2015-06-15,4251.73
2015-06-22,4059.23
2015-06-29,4233.25
2015-07-06,4361.53
2015-07-13,4181.5
2015-07-20,4296.39
2015-07-27,4204.3
