ALL_Supplier_ID,Store_number,Order_date,Total_weight_sum,Total_cost_sum,Carrier_Y,Carrier_X,Order_cost
A,1,2014-08-04,43905.18,5268.62,5268.62,2540,2540
A,2,2014-08-04,46614.04,3262.99,5593.68,5080,5080
A,1,2014-08-11,44321.86,5318.62,5318.62,5080,5080
A,2,2014-08-11,40010.52,2800.75,4801.26,2540,2540
A,1,2014-08-18,43039.26,5164.71,5164.71,2540,2540
A,2,2014-08-18,40298.83,2820.92,4835.86,2540,2540
A,1,2014-08-25,46877.05,5422.96,5625.25,5080,5080
A,2,2014-08-25,48142.93,2800.64,5777.15,5080,5080
A,1,2014-09-01,42123.62,5054.83,5054.83,2540,2540
A,2,2014-09-01,40035.05,2802.46,4804.21,2540,2540
A,1,2014-09-08,40592.09,4871.05,4871.05,2540,2540
A,2,2014-09-08,37238.3,2606.68,4468.6,2540,2540
A,1,2014-09-15,46684.77,5602.17,5602.17,5080,5080
A,2,2014-09-15,49795.79,3304.91,5975.49,5080,5080
A,1,2014-09-22,42041.23,5044.94,5044.95,2540,2540
A,2,2014-09-22,38654.66,2705.83,4638.56,2540,2540
A,1,2014-09-29,38785.12,4654.21,4654.21,2540,2540
A,2,2014-09-29,41019.88,2871.39,4922.39,2540,2540
A,1,2014-10-06,45191.74,5423,5423.01,5080,5080
A,2,2014-10-06,39575.47,2770.29,4749.06,2540,2540
A,1,2014-10-13,41582.86,4989.94,4989.94,2540,2540
A,2,2014-10-13,38970.91,2727.96,4676.51,2540,2540
A,1,2014-10-20,44074.8,5288.97,5288.98,5080,5080
A,2,2014-10-20,45677.28,3197.42,5481.27,5080,5080
A,1,2014-10-27,40105.78,4812.7,4812.69,2540,2540
A,2,2014-10-27,39357.01,2584.42,4722.84,2540,2540
A,1,2014-11-03,41503,4980.36,4980.36,2540,2540
A,2,2014-11-03,41599.69,2911.97,4991.96,2540,2540
A,1,2014-11-10,47968.47,5756.22,5756.22,5080,5080
A,2,2014-11-10,48635.95,3404.52,5836.31,5080,5080
A,1,2014-11-17,40447.66,4853.72,4853.72,2540,2540
A,2,2014-11-17,36113.88,2527.96,4333.67,2540,2540
