ALL_Supplier_ID,Store_number,Order_date,Total_weight_sum,Total_cost_sum,Carrier_Y,Carrier_X,Order_cost
A,1,2014-08-04,26649.48,3197.94,3197.94,2540,2540
A,2,2014-08-04,23460.36,1642.23,2815.24,2540,2540
A,1,2014-08-11,28453.92,3414.47,3414.47,2540,2540
A,2,2014-08-11,21604.44,1512.32,2592.53,2540,2540
A,1,2014-08-18,26769.6,3212.35,3212.35,2540,2540
A,2,2014-08-18,18596.82,1301.78,2231.62,2540,2231.62
A,1,2014-08-25,24024.66,2882.96,2882.96,2540,2540
A,2,2014-08-25,16580.52,1160.64,1989.66,2540,1989.66
A,1,2014-09-01,24356.64,2922.79,2922.8,2540,2540
A,2,2014-09-01,21528.54,1507,2583.42,2540,2540
A,1,2014-09-08,21921.24,2630.55,2630.55,2540,2540
A,2,2014-09-08,17389.68,1217.28,2086.76,2540,2086.76
A,1,2014-09-15,25731.42,3087.77,3087.77,2540,2540
A,2,2014-09-15,23784.42,1664.91,2854.13,2540,2540
A,1,2014-09-22,24557.28,2946.87,2946.87,2540,2540
A,2,2014-09-22,17874.78,1251.24,2144.97,2540,2144.97
A,1,2014-09-29,21438.12,2572.57,2572.57,2540,2540
A,2,2014-09-29,17701.86,1239.13,2124.22,2540,2124.22
A,1,2014-10-06,26584.8,3190.17,3190.18,2540,2540
A,2,2014-10-06,19845.54,1389.19,2381.46,2540,2381.46
A,1,2014-10-13,22866.36,2743.96,2743.96,2540,2540
A,2,2014-10-13,19076.64,1335.36,2289.2,2540,2289.2
A,1,2014-10-20,26819.1,3218.29,3218.29,2540,2540
A,2,2014-10-20,22505.34,1575.38,2700.64,2540,2540
A,1,2014-10-27,21060.6,2527.28,2527.27,2540,2527.27
A,2,2014-10-27,13491.72,944.42,1619.01,2540,1619.01
A,1,2014-11-03,23553.42,2826.41,2826.41,2540,2540
A,2,2014-11-03,20116.8,1408.17,2414.02,2540,2414.02
A,1,2014-11-10,30849.72,3701.97,3701.97,2540,2540
A,2,2014-11-10,25674,1797.18,3080.88,2540,2540
A,1,2014-11-17,24031.92,2883.83,2883.83,2540,2540
A,2,2014-11-17,19625.1,1373.75,2355.01,2540,2355.01
