ALL_Supplier_ID,Store_number,Order_date,Total_weight_sum,Total_cost_sum,Carrier_Y,Carrier_X,Order_cost
B,1,2014-08-04,43905.18,3065.46,3073.36,1200,1200
B,2,2014-08-04,46614.04,2607.62,3262.98,2400,2400
B,1,2014-08-11,44321.86,3102.53,3102.53,2400,2400
B,2,2014-08-11,40010.52,2400.63,2800.74,1200,1200
B,1,2014-08-18,43039.26,3012.75,3012.75,1200,1200
B,2,2014-08-18,40298.83,2315.81,2820.92,1200,1200
B,1,2014-08-25,46877.05,2881.73,3281.39,2400,2400
B,2,2014-08-25,48142.93,2194.83,3370.01,2400,2400
B,1,2014-09-01,42123.62,2904.96,2948.65,1200,1200
B,2,2014-09-01,40035.05,2402.1,2802.45,1200,1200
B,1,2014-09-08,40592.09,2734.49,2841.45,1200,1200
B,2,2014-09-08,37238.3,2234.3,2606.68,1200,1200
B,1,2014-09-15,46684.77,3001.2,3267.93,2400,2400
B,2,2014-09-15,49795.79,2627.06,3485.71,2400,2400
B,1,2014-09-22,42041.23,2919.01,2942.89,1200,1200
B,2,2014-09-22,38654.66,2272.49,2705.83,1200,1200
B,1,2014-09-29,38785.12,2700.67,2714.96,1200,1200
B,2,2014-09-29,41019.88,2262.12,2871.39,1200,1200
B,1,2014-10-06,45191.74,3060.93,3163.42,2400,2400
B,2,2014-10-06,39575.47,2374.52,2770.28,1200,1200
B,1,2014-10-13,41582.86,2800.64,2910.8,1200,1200
B,2,2014-10-13,38970.91,2338.26,2727.96,1200,1200
B,1,2014-10-20,44074.8,3077.34,3085.24,2400,2400
B,2,2014-10-20,45677.28,2550.32,3197.41,2400,2400
B,1,2014-10-27,40105.78,2674.25,2807.4,1200,1200
B,2,2014-10-27,39357.01,2009.5,2754.99,1200,1200
B,1,2014-11-03,41503,2848.73,2905.21,1200,1200
B,2,2014-11-03,41599.69,2407.01,2911.98,1200,1200
B,1,2014-11-10,47968.47,3357.79,3357.79,2400,2400
B,2,2014-11-10,48635.95,2740.44,3404.52,2400,2400
B,1,2014-11-17,40447.66,2831.33,2831.34,1200,1200
B,2,2014-11-17,36113.88,2166.84,2527.97,1200,1200
B,1,2014-11-24,44127.49,3057.38,3088.92,2400,2400
B,2,2014-11-24,39239.42,2354.36,2746.76,1200,1200
B,1,2014-12-01,46994.64,3266.39,3289.62,2400,2400
B,2,2014-12-01,47790.82,2819.56,3345.36,2400,2400
B,1,2014-12-08,42592,2981.43,2981.44,1200,1200
B,2,2014-12-08,42407.2,2437.38,2968.5,1200,1200
B,1,2014-12-15,47633.74,3220.38,3334.36,2400,2400
B,2,2014-12-15,43615.99,2616.73,3053.12,1200,1200
B,1,2014-12-22,47077.8,3141.83,3295.45,2400,2400
B,2,2014-12-22,49374.38,2748.05,3456.21,2400,2400
B,1,2014-12-29,51390.02,3453.91,3597.3,2400,2400
B,2,2014-12-29,56296.79,3013.84,3940.78,2400,2400
B,1,2015-01-05,50322.14,3233.45,3522.55,2400,2400
B,2,2015-01-05,49531.68,2584.38,3467.22,2400,2400
B,1,2015-01-12,40194.44,2813.6,2813.61,1200,1200
B,2,2015-01-12,34376.54,2062.59,2406.36,1200,1200
B,1,2015-01-19,39444.02,2761.08,2761.08,1200,1200
B,2,2015-01-19,36849.89,2211,2579.49,1200,1200
B,1,2015-01-26,43716.2,3060.13,3060.13,1200,1200
B,2,2015-01-26,44378.95,2596.78,3106.53,2400,2400
B,1,2015-02-02,44306.79,3041.82,3101.48,2400,2400
B,2,2015-02-02,40261.87,2415.72,2818.33,1200,1200
B,1,2015-02-09,49741.34,3292.49,3481.89,2400,2400
B,2,2015-02-09,50999.63,2797.9,3569.97,2400,2400
B,1,2015-02-16,46822.6,2983.37,3277.58,2400,2400
B,2,2015-02-16,50727.38,2487.4,3550.92,2400,2400
B,1,2015-02-23,44634.48,3001.48,3124.41,2400,2400
B,2,2015-02-23,40598.58,2258.75,2841.9,1200,1200
B,1,2015-03-02,47151.61,3042.82,3300.61,2400,2400
B,2,2015-03-02,47623.73,2345.56,3333.66,2400,2400
B,1,2015-03-09,52727.62,3690.94,3690.93,2400,2400
B,2,2015-03-09,51114.8,3066.88,3578.04,2400,2400
B,1,2015-03-16,48216.96,3279.09,3375.19,2400,2400
B,2,2015-03-16,51101.82,2764.04,3577.13,2400,2400
B,1,2015-03-23,46298.23,2956.25,3240.88,2400,2400
B,2,2015-03-23,48345.66,2516.51,3384.2,2400,2400
B,1,2015-03-30,47782.46,3155.37,3344.77,2400,2400
