ALL_Supplier_ID,Store_number,Order_date,Total_weight_sum,Total_cost_sum,Carrier_Y,Carrier_X,Order_cost
B,1,2014-08-04,26799.3,1868.05,1875.95,1200,1200
B,2,2014-08-04,31073.68,1675.2,2175.16,1200,1200
B,1,2014-08-11,25983.54,1818.85,1818.85,1200,1200
B,2,2014-08-11,25520.88,1531.25,1786.46,1200,1200
B,1,2014-08-18,25659.26,1796.15,1796.15,1200,1200
B,2,2014-08-18,27472.61,1546.24,1923.08,1200,1200
B,1,2014-08-25,30448.99,1731.76,2131.43,1200,1200
B,2,2014-08-25,35746.81,1451.06,2502.28,1200,1200
B,1,2014-09-01,25532.98,1743.62,1787.31,1200,1200
B,2,2014-09-01,24153.91,1449.23,1690.77,1200,1200
B,1,2014-09-08,25904.45,1706.35,1813.31,1200,1200
B,2,2014-09-08,24371.82,1462.31,1706.03,1200,1200
B,1,2014-09-15,29751.15,1815.85,2082.58,1200,1200
B,2,2014-09-15,33260.37,1634.94,2328.23,1200,1200
B,1,2014-09-22,25980.35,1794.75,1818.62,1200,1200
B,2,2014-09-22,26431.68,1539.11,1850.22,1200,1200
B,1,2014-09-29,24514.6,1701.73,1716.02,1200,1200
B,2,2014-09-29,29088.62,1546.24,2036.2,1200,1200
B,1,2014-10-06,27908.54,1851.11,1953.6,1200,1200
B,2,2014-10-06,26103.33,1566.2,1827.23,1200,1200
B,1,2014-10-13,26482.5,1743.62,1853.78,1200,1200
B,2,2014-10-13,26203.87,1572.24,1834.27,1200,1200
B,1,2014-10-20,26555.1,1850.96,1858.86,1200,1200
B,2,2014-10-20,30222.94,1623.06,2115.61,1200,1200
B,1,2014-10-27,25623.18,1660.46,1793.62,1200,1200
B,2,2014-10-27,29099.29,1394.04,2036.95,1200,1200
B,1,2014-11-03,25634.18,1737.92,1794.39,1200,1200
B,2,2014-11-03,27735.29,1575.14,1941.47,1200,1200
B,1,2014-11-10,27762.35,1943.36,1943.36,1200,1200
B,2,2014-11-10,31211.95,1695,2184.84,1200,1200
B,1,2014-11-17,24247.74,1697.34,1697.34,1200,1200
B,2,2014-11-17,21533.38,1292.01,1507.34,1200,1200
B,1,2014-11-24,27117.31,1866.67,1898.21,1200,1200
B,2,2014-11-24,25509,1530.54,1785.63,1200,1200
B,1,2014-12-01,28336.22,1960.3,1983.54,1200,1200
B,2,2014-12-01,29888.54,1745.42,2092.2,1200,1200
B,1,2014-12-08,25900.38,1813.02,1813.03,1200,1200
B,2,2014-12-08,29099.18,1638.9,2036.94,1200,1200
B,1,2014-12-15,28823.08,1903.63,2017.62,1200,1200
B,2,2014-12-15,27721.43,1663.06,1940.5,1200,1200
B,1,2014-12-22,28799.54,1862.35,2015.97,1200,1200
B,2,2014-12-22,31401.26,1669.66,2198.09,1200,1200
B,1,2014-12-29,30424.46,1986.32,2129.71,1200,1200
B,2,2014-12-29,35512.95,1766.81,2485.91,1200,1200
B,1,2015-01-05,31617.3,1924.11,2213.21,1200,1200
B,2,2015-01-05,33760.54,1638.11,2363.24,1200,1200
B,1,2015-01-12,24882.22,1741.75,1741.76,1200,1200
B,2,2015-01-12,22557.26,1353.44,1579.01,1200,1200
B,1,2015-01-19,23366.42,1635.65,1635.65,1200,1200
B,2,2015-01-19,23927.09,1435.63,1674.9,1200,1200
B,1,2015-01-26,25793.46,1805.54,1805.54,1200,1200
B,2,2015-01-26,28685.03,1655.14,2007.95,1200,1200
B,1,2015-02-02,27178.03,1842.8,1902.46,1200,1200
B,2,2015-02-02,25108.05,1506.49,1757.56,1200,1200
B,1,2015-02-09,30589.02,1951.83,2141.23,1200,1200
B,2,2015-02-09,33346.17,1738.69,2334.23,1200,1200
B,1,2015-02-16,30363.74,1831.25,2125.46,1200,1200
B,2,2015-02-16,36728.78,1647.48,2571.01,1200,1200
B,1,2015-02-23,27828.9,1825.09,1948.02,1200,1200
B,2,2015-02-23,28316.42,1521.82,1982.15,1200,1200
B,1,2015-03-02,30091.93,1848.65,2106.44,1200,1200
B,2,2015-03-02,34224.85,1541.62,2395.74,1200,1200
B,1,2015-03-09,29901.08,2093.08,2093.08,1200,1200
B,2,2015-03-09,30733.78,1844.02,2151.36,1200,1200
B,1,2015-03-16,29608.04,1976.47,2072.56,1200,1200
B,2,2015-03-16,34344.86,1758.62,2404.14,1200,1200
B,1,2015-03-23,29582.19,1786.12,2070.75,1200,1200
B,2,2015-03-23,32605.76,1572.11,2282.4,1200,1200
B,1,2015-03-30,29682.62,1888.38,2077.78,1200,1200
B,2,2015-03-30,33250.25,1570.79,2327.52,1200,1200
B,1,2015-04-06,30342.51,1939.05,2123.98,1200,1200
B,2,2015-04-06,35163.81,1689.98,2461.47,1200,1200
B,1,2015-04-13,28796.46,1872.36,2015.75,1200,1200
B,2,2015-04-13,33374.88,1637.98,2336.24,1200,1200
B,1,2015-04-20,29400.36,1933.81,2058.03,1200,1200
B,2,2015-04-20,33798.49,1686.95,2365.89,1200,1200
B,1,2015-04-27,29728.27,1990.64,2080.98,1200,1200
B,2,2015-04-27,29724.75,1649.59,2080.73,1200,1200
B,1,2015-05-04,32677.26,1939.51,2287.41,1200,1200
B,2,2015-05-04,33187,1690.25,2323.09,1200,1200
B,1,2015-05-11,34162.26,2030.68,2391.36,1200,1200
B,2,2015-05-11,36715.03,1720.61,2570.05,1200,1200
B,1,2015-05-18,31546.13,2001.57,2208.23,1200,1200
B,2,2015-05-18,35756.38,1698.7,2502.95,1200,1200
B,1,2015-05-25,32455.17,2008.96,2271.86,1200,1200
B,2,2015-05-25,38362.94,1782.78,2685.41,1200,1200
B,1,2015-06-01,32598.94,2013.27,2281.93,1200,1200
B,2,2015-06-01,38546.97,1787.8,2698.29,1200,1200
B,1,2015-06-08,34340.68,1995.87,2403.85,1200,1200
B,2,2015-06-08,40632.68,1733.81,2844.29,1200,1200
B,1,2015-06-15,29891.4,1975.85,2092.4,1200,1200
B,2,2015-06-15,29369.01,1758.62,2055.83,1200,1200
B,1,2015-06-22,32963.7,1916.1,2307.46,1200,1200
B,2,2015-06-22,32562.64,1593.62,2279.38,1200,1200
B,1,2015-06-29,32923.33,2110.76,2304.63,1200,1200
B,2,2015-06-29,33542.19,1742.78,2347.95,1200,1200
B,1,2015-07-06,35716.78,2098.59,2500.17,1200,1200
B,2,2015-07-06,42505.32,1852.74,2975.37,1200,1200
B,1,2015-07-13,32771.42,2053.47,2294,1200,1200
B,2,2015-07-13,36464.12,1698.43,2552.49,1200,1200
B,1,2015-07-20,32250.46,2024.67,2257.53,1200,1200
B,2,2015-07-20,35220.24,1796.9,2465.42,1200,1200
B,1,2015-07-27,34063.81,1975.85,2384.47,1200,1200
B,2,2015-07-27,35000.24,1717.97,2450.02,1200,1200
