ALL_Supplier_ID,Store_number,Order_date,Total_weight_sum,Total_cost_sum,Carrier_Y,Carrier_X,Order_cost
B,1,2014-08-04,17255.7,1200,1207.9,1200,1200
B,2,2014-08-04,23153.68,1200,1620.76,1200,1200
B,1,2014-08-11,15867.94,1110.76,1110.76,1200,1110.76
B,2,2014-08-11,18406.08,1104.36,1288.43,1200,1200
B,1,2014-08-18,16269.66,1138.88,1138.88,1200,1138.88
B,2,2014-08-18,21702.01,1200,1519.14,1200,1200
B,1,2014-08-25,22852.39,1200,1599.67,1200,1200
B,2,2014-08-25,31562.41,1200,2209.37,1200,1200
B,1,2014-09-01,17766.98,1200,1243.69,1200,1200
B,2,2014-09-01,18506.51,1110.39,1295.46,1200,1200
B,1,2014-09-08,18670.85,1200,1306.96,1200,1200
B,2,2014-09-08,19848.62,1190.92,1389.4,1200,1200
B,1,2014-09-15,20953.35,1200,1466.73,1200,1200
B,2,2014-09-15,26011.37,1200,1820.8,1200,1200
B,1,2014-09-22,17483.95,1200,1223.88,1200,1200
B,2,2014-09-22,20779.88,1200,1454.59,1200,1200
B,1,2014-09-29,17347,1200,1214.29,1200,1200
B,2,2014-09-29,23318.02,1200,1632.26,1200,1200
B,1,2014-10-06,18606.94,1200,1302.49,1200,1200
B,2,2014-10-06,19729.93,1183.8,1381.1,1200,1200
B,1,2014-10-13,18716.5,1200,1310.16,1200,1200
B,2,2014-10-13,19894.27,1193.66,1392.6,1200,1200
B,1,2014-10-20,17255.7,1200,1207.9,1200,1200
B,2,2014-10-20,23171.94,1200,1622.04,1200,1200
B,1,2014-10-27,19045.18,1200,1333.16,1200,1200
B,2,2014-10-27,25865.29,1200,1810.57,1200,1200
B,1,2014-11-03,17949.58,1200,1256.47,1200,1200
B,2,2014-11-03,21482.89,1200,1503.8,1200,1200
B,1,2014-11-10,17118.75,1198.31,1198.31,1200,1198.31
B,2,2014-11-10,22961.95,1200,1607.34,1200,1200
B,1,2014-11-17,16415.74,1149.1,1149.1,1200,1149.1
B,2,2014-11-17,16488.78,989.33,1154.21,1200,1154.21
B,1,2014-11-24,17593.51,1200,1231.55,1200,1200
B,2,2014-11-24,18260,1095.6,1278.2,1200,1200
B,1,2014-12-01,17474.82,1200,1223.24,1200,1200
B,2,2014-12-01,20798.14,1200,1455.87,1200,1200
B,1,2014-12-08,16306.18,1141.43,1141.43,1200,1141.43
B,2,2014-12-08,21784.18,1200,1524.89,1200,1200
B,1,2014-12-15,18771.28,1200,1313.99,1200,1200
B,2,2014-12-15,20003.83,1200,1400.27,1200,1200
B,1,2014-12-22,19337.34,1200,1353.61,1200,1200
B,2,2014-12-22,23573.66,1200,1650.16,1200,1200
B,1,2014-12-29,19191.26,1200,1343.39,1200,1200
B,2,2014-12-29,26066.15,1200,1824.63,1200,1200
B,1,2015-01-05,21272.9,1200,1489.1,1200,1200
B,2,2015-01-05,26458.74,1200,1852.11,1200,1200
B,1,2015-01-12,16014.02,1120.98,1120.98,1200,1120.98
B,2,2015-01-12,15904.46,954.27,1113.31,1200,1113.31
